StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q79,Q149,Q148,Q89,Q91,Q93,Q95,Q97,Q97_4_TEXT,Q99,Q99_5_TEXT,Q101,Q101_5_TEXT,Q103,Q103_2_TEXT,Q87,Q153,Q85,Q85_1_TEXT,Q85_2_TEXT,Q85_3_TEXT,Q85_4_TEXT,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,Q127,Q129,Q131,Q135,Q137,Q139,Q141,Q143,Q145,Q147,Q149,Q151,Q153,Q155,Q157,Q159,Q161,Q163,Q165,Q167,Q169,Q171,Q173,Q177,Q179,Q181,Q183,Q185,Q187,Q189,Q191,Q193,Q195,Q197,Q199,Q201,Q203
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"By selecting Agree, I am confirming that I have read and agree to the conditions of this consent form.",Are you currently in medical school?,What year are you in medical school,How old are you?,How tall are you?,What is your weight in pounds?,What was your sex assigned at birth?,What is your gender identity? - Selected Choice,What is your gender identity? - Other: - Text,What is your sexual orientation? - Selected Choice,What is your sexual orientation? - Other: - Text,What racial or ethnic identity do you identify with? - Selected Choice,What racial or ethnic identity do you identify with? - Other: - Text,What is your primary language: - Selected Choice,What is your primary language: - Other: - Text,Have you ever been involved in a telehealth research study before?,Did your prior experience in a telehealth study involve interviewing 2 middle-aged male patients?,"The following questions will allow us to create a unique ID code to match the current survey to your in-person survey, without compromising your anonymity.
Please answer the questions below so we can generate your personal ID code: - Selected Choice","The following questions will allow us to create a unique ID code to match the current survey to your in-person survey, without compromising your anonymity.
Please answer the questions below so we can generate your personal ID code: - FIRST TWO letters of your mothers' middle name (if none put X) - Text","The following questions will allow us to create a unique ID code to match the current survey to your in-person survey, without compromising your anonymity.
Please answer the questions below so we can generate your personal ID code: - Your birth month in numbers (For example: March= 03) - Text","The following questions will allow us to create a unique ID code to match the current survey to your in-person survey, without compromising your anonymity.
Please answer the questions below so we can generate your personal ID code: - FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X) - Text","The following questions will allow us to create a unique ID code to match the current survey to your in-person survey, without compromising your anonymity.
Please answer the questions below so we can generate your personal ID code: - FIRST TWO letters of your eye color - Text",It is sometimes hard for me to go on with my work if I am not encouraged.,I sometimes feel resentful when I don’t get my own way.,"On a few occasions, I have given up doing something because I thought too little of my ability.",There have been times when I felt like rebelling against people in authority even though I knew they were right.,"No matter who I'm talking to, I'm always a good listener.",There have been occasions when I took advantage of someone.,I’m always willing to admit it when I make a mistake.,"I sometimes try to get even, rather than forgive and forget.","I am always courteous, even to people who are disagreeable.",I have never been irked when people expressed ideas very different from my own.,There have been times when I was quite jealous of the good fortune of others.,I am sometimes irritated by people who ask favors of me.,I have never deliberately said something that hurt someone’s feelings,I feel pleasant.,I feel nervous and restless.,I feel satisfied with myself.,I wish I could be as happy as others seem to be.,I feel like a failure.,I feel rested.,"I am ""calm, cool, and collected""",I feel that difficulties are piling up so that I cannot overcome them.,I worry too much over something that doesn't really matter.,I am happy.,I have disturbing thoughts.,I lack self-confidence.,I feel secure.,I make decisions easily.,I feel inadequate.,I am content.,Some unimportant thought runs through my mind and bothers me.,I take disappointments so keenly that I can't put them out of my mind.,I am a steady person.,I get in a state of tension or turmoil as I think over my recent concerns and interests.,"When mixing socially, I am uncomfortable.",I have difficulty talking with other people.,I find myself worrying that I won't know what to say in social situations.,I am nervous mixing with people I don't know well.,I am tense mixing in a group.,I get nervous that people are staring at me as I walk down the street.,I feel self-conscious if I have to enter a room where others are already seated.,I would get tense if I had to sit facing other people on a bus or a train.,I would get tense if I had to carry a tray across a crowded cafeteria.,"When in an elevator, I am tense if people look at me.",I can feel conspicuous standing in a line.,I am worried people will think my behavior is odd.,I worry I'll lose control of myself in front of other people.,I worry I might do something to attract the attention of others.
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID77""}","{""ImportId"":""QID149""}","{""ImportId"":""QID148""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID90_4_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID91_5_TEXT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID92_5_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID93_2_TEXT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID153""}","{""ImportId"":""QID84""}","{""ImportId"":""QID84_1_TEXT""}","{""ImportId"":""QID84_2_TEXT""}","{""ImportId"":""QID84_3_TEXT""}","{""ImportId"":""QID84_4_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID130""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}"
2020-02-03 11:51:16,2020-02-03 11:51:21,Survey Preview,100,5,True,2020-02-03 11:51:22,R_pLSoIyQDjUziBJn,preview,EN,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22 14:50:18,2020-02-22 14:50:28,IP Address,100,10,True,2020-02-22 14:50:28,R_1Hi3MXitrkhcZpj,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22 22:42:24,2020-02-22 22:51:06,IP Address,100,522,True,2020-02-22 22:51:07,R_32PHzjiFLpWMscU,anonymous,EN,Agree,,,25-30 years old,"5'3""-5'6""",125-150 lbs,Female,Female,,Prefer not to say,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",NA,09,FO,BR,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2020-02-24 12:00:59,2020-02-24 12:23:04,IP Address,100,1325,True,2020-02-24 12:23:05,R_RDARQxUXuySgSsN,anonymous,EN,Agree,,,Under 25 years old,"5'6""-5'9""",150-175 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Re,04,22,bl,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,3= Often,2= Sometimes,4= Almost always,1= Almost never,1= Almost never,2= Sometimes,4= Almost always,1= Almost never,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,3= Often,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,1= Almost never,2,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2020-02-24 19:13:13,2020-02-24 20:39:05,IP Address,100,5151,True,2020-02-24 20:39:05,R_3rSYwO1eaa0bZZS,anonymous,EN,Agree,,,Under 25 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,Other:,Korean,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,03,se,BL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,3= Often,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,3= Often,3= Often,4,4,4,5= Extremely characteristic or true of me,4,2,3= Moderately characteristic or true of me,2,2,3= Moderately characteristic or true of me,2,4,1= Not at all characteristic or true of me,2
2020-02-22 19:44:18,2020-02-24 22:30:01,IP Address,100,182743,True,2020-02-24 22:30:02,R_1rDjARREZdKCKEg,anonymous,EN,Agree,,,Under 25 years old,"5'3""-5'6""",150-175 lbs,Female,Female,,Prefer not to say,,Black/African American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",CA,08,JA,BR,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,1= Almost never,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,2= Sometimes,4,3= Moderately characteristic or true of me,4,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,2,2,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2
2020-02-23 16:02:12,2020-02-23 16:20:41,IP Address,99,1109,False,2020-03-01 16:21:58,R_XAlypSxNAwjZXrP,anonymous,EN,Agree,,,Under 25 years old,"5'0""-5'3""",125-150 lbs,Female,Female,,Heterosexual,,Hispanic/Latinx,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",tr,09,mi,br,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,2= Sometimes,4= Almost always,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,4= Almost always,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,4= Almost always,3= Often,2= Sometimes,2= Sometimes,3= Moderately characteristic or true of me,2,4,3= Moderately characteristic or true of me,4,4,5= Extremely characteristic or true of me,3= Moderately characteristic or true of me,5= Extremely characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,4,5= Extremely characteristic or true of me
2021-03-02 11:56:45,2021-03-02 11:57:06,Survey Preview,100,21,True,2021-03-02 11:57:07,R_DOW5SBB0B4SUJqh,preview,EN,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
